address,lat,lon,dist_mrt,dist_mall
118_ANG MO KIO AVE 4,1.37329593649654,103.835475719134,0.23720904532831882,0.802658443919261
475_ANG MO KIO AVE 10,1.36266297827625,103.85651592319,1.118794059845967,1.4005090596486869
304_ANG MO KIO AVE 1,1.36628642816469,103.844994760928,0.6494060471937484,0.6449612953110173
557_ANG MO KIO AVE 10,1.3716257020332,103.857736107527,0.928377203680306,1.1301550741986466
254_ANG MO KIO AVE 4,1.37020344042146,103.834687722549,0.2515933268551577,0.6111830829813857
54_CHAI CHEE ST,1.32947840879761,103.921105111921,0.68072823797361,1.0108019613267842
441_ANG MO KIO AVE 10,1.36605027829032,103.854168309853,0.6700945891177706,1.0486074288926046
330_ANG MO KIO AVE 1,1.36243186402478,103.851030689651,0.849983916315323,0.8448804556058371
310A_ANG MO KIO AVE 1,1.36481255187585,103.843844243986,0.8529956591558538,0.5721739089668445
40_CHAI CHEE AVE,1.32604335303082,103.926488452026,0.4513108328857014,0.3402814969451367
601_ANG MO KIO AVE 5,1.38104134784496,103.835131744823,0.5011512387269114,1.6116643086599762
151_BEDOK RESERVOIR RD,1.33557619454702,103.911545779692,0.34971871681556743,1.3812542550389788
233_ANG MO KIO AVE 3,1.36754924977907,103.836740628478,0.4356341197509269,0.2832874234188452
235_ANG MO KIO AVE 3,1.36682360872342,103.83649123351,0.5159678575349381,0.30953486061514857
465_ANG MO KIO AVE 10,1.3662010408294,103.857200967235,0.9455273151005329,1.2950058666464186
646_ANG MO KIO AVE 6,1.37939517687868,103.843763599411,0.29362919528154796,0.8449092076061454
534_ANG MO KIO AVE 10,1.37405846295585,103.854168170426,0.6878044535120746,0.7372373959341383
508_BEDOK NTH AVE 3,1.33340012199511,103.932519441614,0.35808332056001774,0.8740704013428429
575_ANG MO KIO AVE 10,1.37138855070768,103.855953346739,0.7291110776773069,0.9380068200590014
705_BEDOK NTH RD,1.33663681806047,103.918995255673,0.2390941612089355,1.6569426784665757
255_ANG MO KIO AVE 4,1.37065487078854,103.834630215787,0.23338573961244743,0.6455431126768539
105_BEDOK RESERVOIR RD,1.32914437941094,103.909112780576,0.6515477975328893,1.1132846862635153
625_ANG MO KIO AVE 9,1.38219867741921,103.841211533475,0.4181830560151703,1.2606556326163036
119_ANG MO KIO AVE 3,1.36956344301912,103.844698910817,0.5417214235082342,0.4917280896157566
588A_ANG MO KIO ST 52,1.37207688864036,103.852786139342,0.4308172653967434,0.5781394529874843
77_BEDOK NTH RD,1.32869611162886,103.941995599533,0.5121607859039683,0.7277166517447196
101_ANG MO KIO AVE 3,1.37026158388486,103.839467898898,0.3489785883514657,0.34718616290137344
302_ANG MO KIO AVE 3,1.36708983179046,103.845660199054,0.5363660134931932,0.6787181536472272
534_BEDOK NTH ST 3,1.33303698213001,103.924812248346,0.7829940319894801,0.9324843118375126
509_ANG MO KIO AVE 8,1.37400086510074,103.850139806283,0.45694144626537186,0.3048688159001197
55_CHAI CHEE DR,1.32684846948333,103.919015573079,0.8852747505907715,1.162381520312368
18_BEDOK STH RD,1.32062504871279,103.934734222428,0.6464948418110117,0.7614595722340345
470_ANG MO KIO AVE 10,1.36408620030202,103.856692408941,1.0254850546630894,1.4013523169049276
34_BEDOK STH AVE 2,1.32205652925918,103.93835472666,0.9547432794593539,1.054414413333253
148_BEDOK RESERVOIR RD,1.33534088461813,103.91190498709,0.3852799453618128,1.413090626429744
602_BEDOK RESERVOIR RD,1.32934898685946,103.911583237057,0.7147644719252944,1.3717430818724727
101_BEDOK NTH AVE 4,1.334484667124,103.937924710969,0.6751585992749438,1.1813628142886103
116_BEDOK RESERVOIR RD,1.33103784588692,103.908641634756,0.4374117120094053,1.015611129647957
149_BEDOK RESERVOIR RD,1.33576929801793,103.912779600202,0.48846898554705603,1.5192009383905745
35_BEDOK STH AVE 2,1.32233220742919,103.939766219283,0.9093299300996416,1.1985353818112987
131_ANG MO KIO AVE 3,1.37101536386003,103.841800323712,0.5837947327133794,0.5147971393944661
81_BEDOK NTH RD,1.32891558225172,103.940528728774,0.674905644528299,0.8729783319250856
211_ANG MO KIO AVE 3,1.369196965617,103.841666636086,0.620297917932916,0.35177143287071655
185_BEDOK NTH RD,1.32623725322603,103.940827550178,0.6227732963401995,0.9740995216921241
78_BEDOK NTH RD,1.32726007220341,103.940848770214,0.611442749352802,0.9121817848000089
463_ANG MO KIO AVE 10,1.36694793518613,103.857487648675,0.9418920873393202,1.2765695484001593
520_ANG MO KIO AVE 5,1.3734054063175,103.851134219635,0.42402178106113564,0.3925498181471827
8_BEDOK STH AVE 2,1.32284176978435,103.936046815062,0.6857005932879044,0.7837181997057204
1_BEDOK STH AVE 1,1.32085208689731,103.933721091441,0.5417642368126085,0.6579454074503767
117_BEDOK NTH RD,1.33065454769523,103.938496275607,0.9542553815123386,1.0624057736544026
42_BEDOK STH RD,1.32147847826862,103.940721046918,0.8912464892642791,1.324969752669983
207_ANG MO KIO AVE 1,1.36582089504381,103.842847772078,0.8749203848577716,0.42550865366597446
425_BEDOK NTH RD,1.32936960154503,103.929067536324,0.607906894706509,0.3654042038182535
135_BEDOK RESERVOIR RD,1.33314106418951,103.912523538101,0.49533720807878745,1.4422294236470736
554_BEDOK NTH ST 3,1.33262715051315,103.928172121608,0.632353848571763,0.7397329612044354
423_BEDOK NTH AVE 1,1.32797614118511,103.927565110763,0.5194086377081174,0.3025215496342598
7_BEDOK STH AVE 2,1.32281544267372,103.93545524391,0.6217899533887425,0.7214545203940391
